id,lat,lon,elevation,date,gvi,svf
L_pifEkq3Np2wxjNkTXtKw,30.77005697,76.74460054,364.8931274,2022-06,10.67504883,39.52026367
3hueDQ_WauY8dsSc0nshnA,30.77017537,76.75363919,373.442749,2022-06,0.103759766,24.04785156
pWBjegDXEqBWCDSw8N44NA,30.77028564,76.75389534,373.6000366,2022-06,6.451416016,20.02563477
SAg5slkzXrzRYZkw6TGuNA,30.77027922,76.75399978,373.7102966,2022-06,0.274658203,17.06542969
RcWkfNd_lbE1QYGuQDpV5A,30.77310271,76.75229916,370.6539612,2022-06,18.20068359,35.25390625
Kk1Xe2hCUXF0-ghI-yWWmA,30.77316724,76.75215,370.9141235,2022-06,7.171630859,43.90869141
Yue74Zjh4dT8RvGu1ilw5w,30.77319924,76.7523269,370.6463928,2022-06,20.48950195,35.68725586
QtI_JFZYlot6hdEsdsSpcg,30.77325508,76.75217527,370.9272766,2022-06,6.658935547,44.51904297
r2dEUfTTYK044HqHfc6a7w,30.77329515,76.75235446,370.617157,2022-06,13.05541992,41.14379883
0__m-AiHPvuo3lnpl6bVkg,30.77334417,76.75220089,370.9204102,2022-06,6.420898438,44.78149414
efuzsDEDHqIXFR_nns2TZQ,30.77038332,76.74473765,366.0089111,2023-06,36.2487793,4.693603516
M_N5Y0Etuqld5_K9hIHrMw,30.77043449,76.74464237,365.9129944,2023-06,25.52490234,15.13671875
CBCFDes_qFQ4J3_1rW2Hog,30.77010711,76.74449778,364.743927,2022-06,12.91503906,37.21923828
j8_6Jpy8kY9HdlA-xWwwhw,30.77047934,76.74455255,365.7901611,2023-06,15.13671875,35.29052734
t_kVRFvGtjXAWQtPcNnqew,30.77015083,76.74440866,364.5725098,2022-06,11.26708984,39.86206055
M92yd2-aE0aVxTtfJOyH6Q,30.77100597,76.74485469,367.1151428,2023-06,7.354736328,30.35888672
9uWzY45Wax8hg7-_iZStTA,30.75334333,76.71818155,355.60495,2022-08,0.091552734,21.24023438
41GGhqYs_tLGqLL9jZ11LQ,30.75297946,76.71826082,354.5317078,2022-08,7.03125,35.24780273
KXKV-5KzqdSEbjctBbD3Dw,30.7526952,76.71821528,353.0776367,2022-08,29.47998047,15.3503418
31myKYDBeoUnYlU2cn01yA,30.75278443,76.71824726,353.9678345,2022-08,8.020019531,35.45532227
M9RaqWFAsZW9HdjkEs9WRQ,30.75288213,76.71826531,354.1792908,2022-08,3.521728516,37.54882813
TslyfCf23omEjbIjbPJDlA,30.75360742,76.71809567,356.3031616,2022-08,0.0,27.72827148
dr9nyLvBi-yRNeMsWPxDOw,30.75196865,76.71802838,351.7967529,2022-08,12.97607422,36.69433594
GWVv0697d6V7ugnZw1wS1w,30.75210473,76.7181634,351.8334351,2022-08,10.72387695,39.34326172
N3M782-_fgPMKkklZbDNow,30.75214463,76.71806088,352.5257874,2022-08,20.1171875,34.2956543
89xzjTlEo_fvCZan7zXa2A,30.75223649,76.71808078,352.1609192,2022-08,10.30273438,38.3605957
l1gtcUeI5kBPP4a_nisddQ,30.75233251,76.71810756,352.335144,2022-08,16.60766602,32.68432617
zB9RuQP7llqeAl1CqfiJuQ,30.75242911,76.71813663,352.5260315,2022-08,16.28417969,32.22045898
jBxzubdQGIEnW_FNEflbbQ,30.7525276,76.71807858,352.6712646,2022-08,13.82446289,35.10131836
pETA_ZsOJpCcGmTx-FPXiQ,30.75197851,76.71777154,351.8615417,2022-08,6.701660156,41.70532227
6OcZtWDf0U_B5exuRULN0g,30.75204592,76.71777154,351.9160767,2022-08,8.10546875,41.41235352
r7cRfLpqwwAoKNwWlZ4xaA,30.75213554,76.71778898,351.9425049,2022-08,26.19628906,22.91870117
D5weYX9U-ReEn_HsiH592A,30.75222774,76.71776819,352.1157837,2022-08,7.788085938,38.40942383
0fcT3BG9AUD740AuNGH1Rw,30.75238847,76.71787521,352.2769165,2022-08,9.350585938,39.75219727
0BSAmfjckke4epMQBD_q3w,30.75231719,76.71798064,352.1979065,2022-08,9.332275391,40.52124023
43j3DUbAH0to3JnIdDMVZA,30.75221022,76.71796443,352.0755615,2022-08,10.51025391,39.45922852
ihoEr-JLdGxBbamKzZhnbA,30.75212775,76.71792057,352.0068359,2022-08,11.14501953,38.74511719
luw8282yWXV6OJjdYd8iUA,30.75206513,76.71785548,351.910614,2022-08,8.654785156,41.60766602
f18XR5WW35XTD_dd5WRD0Q,30.75180538,76.71789273,351.8647766,2022-08,17.35229492,35.32104492
q1Q1GjeVn8PQi9gR5eAS7w,30.75187081,76.71799817,351.7199707,2022-08,12.80517578,38.27514648
9XBp4AVoZ-_IbZLVatyBpg,30.75204715,76.71805401,352.320282,2022-08,14.16015625,36.1328125
McU4_a3stcXErYuoXScr9Q,30.75177707,76.71799746,352.2807617,2022-08,14.2578125,38.43994141
e3DeZuXlIS9TVrZEtLtjBw,30.75524785,76.71713436,357.5578613,2022-08,26.49536133,2.459716797
pNP0Z-VKjZ-3jM5x2tjvmQ,30.75514381,76.71737297,358.2809753,2022-08,4.296875,24.61547852
Lc-_2YGdKeZ3BWtXq_L31w,30.75622455,76.71610381,359.4014587,2022-08,19.72045898,26.31835938
IFI-WnnS0J5BoLnwGzJang,30.75586169,76.71595786,358.8079529,2022-08,4.504394531,29.93774414
OyZX7JA8sDK2zJ1RXTCzjQ,30.75578575,76.71601926,358.5583496,2022-08,4.296875,24.68261719
YBoSgrMD9RRHGXGftb6Bhw,30.7559847,76.71628139,358.9887695,2022-08,44.00024414,16.10107422
c1X0KnqDNrJ7q7DTOE9bpw,30.75590668,76.71634921,358.7538452,2022-08,6.164550781,35.85205078
RHbwbped59XEkMpKXkawMw,30.75571155,76.71607651,358.3743286,2022-08,2.368164063,15.82641602
s54iw_60CsozNaW9tmmp3A,30.75629176,76.7161468,359.4950867,2022-08,12.23754883,36.84692383
vnyY5fQc5kocgFBrXhdGdA,30.7561182,76.71609527,359.2466125,2022-08,17.94433594,29.4921875
0MsjmuXMSoiu77xGF2afag,30.7560588,76.71620229,359.2829285,2022-08,20.28198242,34.06982422
RL1qOQC7lhXvwadM8iEGNA,30.75592581,76.71589629,359.0272522,2022-08,5.908203125,28.57055664
2ToeJAcxQPy-O80SqptRsA,30.75610133,76.7160795,359.2142944,2022-08,16.41235352,28.55224609
L0zcS2yrPde2YGvnmFtBwA,30.7563432,76.71620854,359.4865723,2022-08,6.756591797,38.15307617
f_o_YJdFT8hfg9NH4g4Ntg,30.75583585,76.71640998,358.6928101,2022-08,7.501220703,35.24780273
u9iQMwkWSvcyKwYac_AUCw,30.75514137,76.71501107,356.519104,2022-08,4.058837891,29.8034668
